id,name,role,phone
145, 賴進清,學生,09 5481 5172
146, 蔡科松,學生,09 3135 5147
147, 呂貞儀,學生,09 0077 3925
148, 吳怡雯,學生,09 4296 5391
149, 楊建豪,學生,09 4793 8325
150, 姜山峰,學生,09 7272 4691
151, 林昶火,學生,09 8815 0471
152, 林婉松,學生,09 4760 5182
153, 洪淑冰,學生,09 0027 1044
154, 李慧虹,學生,09 1577 5622
155, 王智俐,學生,09 3213 4664
156, 楊凱恭,學生,09 0662 8031
157, 陳依婷,學生,09 8389 0729
158, 蔡國香,學生,09 4870 3334
159, 陳弘苓,學生,09 6149 2013
160, 張雅希,學生,09 4851 9751
161, 劉依婷,學生,09 9744 4183
162, 巫惠珊,學生,09 9636 1281
163, 吳貞儀,學生,09 0421 1302
164, 李姿原,學生,09 2191 6339
165, 席丹宏,學生,09 6706 9429
166, 陳竣凡,學生,09 8700 6766
167, 吳佩宜,學生,09 1337 8955
168, 彭馥玟,學生,09 0107 0180
169, 陳奕易,學生,09 9201 1450
170, 黃家宏,學生,09 2164 2296
171, 林韋菁,學生,09 9356 5010
172, 蔡秉能,學生,09 0474 4109
173, 徐于人,學生,09 3475 4921
174, 顏揚惟,學生,09 2623 6641
175, 李佳芝,學生,09 0422 1252
176, 陸宜真,學生,09 6732 1915
177, 許美玲,學生,09 1000 7958
178, 溫雪智,學生,09 4995 1950
179, 謝佳玲,學生,09 8431 5591
180, 李香花,學生,09 3768 9376
181, 趙子翔,學生,09 7413 6899
182, 林雅惠,學生,09 4810 0147
183, 李柔學,學生,09 0018 5873
184, 闞世南,學生,09 8630 4744
185, 楊惠君,學生,09 3572 0509
186, 呂孝人,學生,09 9207 4874
187, 黃政花,學生,09 3260 7976
188, 劉雅平,學生,09 7999 2070
189, 楊至岳,學生,09 1958 7826
190, 張彥君,學生,09 5723 5701
191, 李禮伸,學生,09 3993 1209
192, 吳孟盈,學生,09 7692 4644
193, 姚韻如,學生,09 7471 4451
194, 張興軍,學生,09 0323 9557
195, 洪佳雯,學生,09 5480 4467
196, 郭威德,學生,09 4172 5838
197, 彭耀秋,學生,09 9137 5179
198, 周曉萍,學生,09 9920 3429
199, 林秀福,學生,09 9302 2685
200, 羅天泰,學生,09 9031 8081
201, 林靜沛,學生,09 0038 5482
202, 邱嘉豪,學生,09 6375 2545
203, 蘇彥智,學生,09 6182 5127
204, 陳靜雯,學生,09 6809 0627
205, 鄭雅芸,學生,09 1561 1636
206, 黃琇璇,學生,09 8812 6804
207, 楊宗江,學生,09 5635 7821
208, 孫嘉文,學生,09 3653 6303
209, 吳志宇,學生,09 2589 0808
210, 陳毓航,學生,09 2213 5594
211, 李美惠,學生,09 5547 1175
212, 王文芷,學生,09 0647 1774
213, 吳佳蓉,學生,09 4235 8935
214, 許書瑋,學生,09 4803 6189
215, 夏左順,學生,09 9558 8759
216, 翁珮奇,學生,09 9396 1056
217, 林上卿,學生,09 2968 7566
218, 黃香豪,學生,09 9530 6964
219, 陳雅娟,學生,09 6209 3776
220, 宋康心,學生,09 7663 9512
221, 蔡珮雯,學生,09 3379 4072
222, 蘇展龍,學生,09 9791 5728
223, 黃宛修,學生,09 1695 6131
224, 鄧俊緯,學生,09 2543 3480
225, 賴淑玲,學生,09 4733 5199
226, 林琬婷,學生,09 5137 3362
227, 林卉樂,學生,09 9454 4261
228, 張晉堅,學生,09 4984 9291
229, 張淑真,學生,09 6175 8857
230, 蔡林玉,學生,09 9236 0615
231, 蔡欣博,學生,09 1666 2435
232, 陳潔意,學生,09 4585 9678
233, 朱俊逸,學生,09 5347 9725
234, 陳威欣,學生,09 9447 2818
235, 陳柏毅,學生,09 5503 3650
236, 盧郁婷,學生,09 3990 2625
237, 李坤蘭,學生,09 5066 2497
238, 吳欣怡,學生,09 8172 5022
239, 劉欣瑜,學生,09 9341 1246
240, 陳佳梅,學生,09 8931 9075
241, 林語宜,學生,09 6174 8152
242, 陳惠茹,學生,09 0253 2816
243, 陳政憲,學生,09 9671 6437
244, 權韻如,學生,09 8844 2346
245, 林逸祥,學生,09 4576 5169
246, 藍舒臻,學生,09 1246 1207
247, 許定勳,學生,09 5406 0246
248, 王維亞,學生,09 0048 3739
249, 陳彥政,學生,09 0023 0776
250, 顏秀娟,學生,09 3492 3516
251, 梁柏宇,學生,09 5556 0791
252, 鄧慶新,學生,09 5647 2820
253, 彭淑惠,學生,09 8833 3745
254, 黃筱婷,學生,09 4355 8983
255, 黃于貞,學生,09 9176 5714
256, 劉玉旭,學生,09 8913 5468
257, 曾宜真,學生,09 3631 7306
258, 烏光利,學生,09 4076 2496
259, 蔡耀中,學生,09 4237 7275
260, 鄭冠志,學生,09 9651 5631
261, 洪薇桓,學生,09 3169 6558
262, 林威民,學生,09 9330 9748
263, 楊育如,學生,09 4488 5251
264, 賴筠凌,學生,09 2123 4585
265, 陳尹成,學生,09 5000 9154
266, 林麗玲,學生,09 6424 0346
267, 陳文治,學生,09 5589 4231
268, 沈枝娥,學生,09 3286 6496
269, 金林善,學生,09 1663 6037
270, 陳允意,學生,09 1618 3881
271, 陳盈年,學生,09 3612 5642
272, 楊宗淳,學生,09 2780 4776
273, 黃玉正,學生,09 3719 6823
274, 林惠茹,學生,09 9567 4628
275, 葉彥志,學生,09 0423 4218
276, 胡佳慧,學生,09 2101 2298
277, 李延義,學生,09 6496 8045
278, 徐尚育,學生,09 0772 5862
279, 孫佳穎,學生,09 5816 2961
280, 陳瓊江,學生,09 4725 6673
281, 廖婉英,學生,09 0886 0552
282, 李佩宣,學生,09 3963 1923
283, 陳怡隆,學生,09 9546 6139
284, 黃秋祥,學生,09 4925 1837
285, 芮怡文,學生,09 0075 9331
286, 吳景翔,學生,09 5187 4272
287, 洪恒俐,學生,09 9212 4716
288, 林淑秋,學生,09 9254 3528
289, 唐京屏,學生,09 9312 7791
290, 林育坤,學生,09 0846 8957
291, 陳宜君,學生,09 8975 2877
292, 張木睿,學生,09 2853 1339
293, 陳慶昌,學生,09 0186 5459
294, 彭景翔,學生,09 8942 9002
295, 周志豪,學生,09 5693 3355
296, 徐長迪,學生,09 0558 1737
297, 顧皓倫,學生,09 8835 6924
298, 謝子宇,學生,09 8738 0176
299, 危瓊江,學生,09 6395 8972
300, 劉振榮,學生,09 3841 4639
301, 吳玟君,學生,09 4490 1863
302, 楊右瑜,學生,09 5678 4883
303, 陳慧州,學生,09 0593 1847
304, 楊勝瑄,學生,09 0863 5269
305, 陳瑩昌,學生,09 7852 9766
306, 楊建智,學生,09 3517 0899
307, 陳明舜,學生,09 8190 8007
308, 黃美玲,學生,09 8283 3056
309, 陳元定,學生,09 7737 9166
310, 陳威彬,學生,09 4361 3335
311, 林泰伸,學生,09 4780 2668
312, 柯宛真,學生,09 4722 1051
313, 張育冰,學生,09 1666 5832
314, 吳宜達,學生,09 3825 2055
315, 王鈺婷,學生,09 5324 8240
316, 閻彥良,學生,09 7747 8407
317, 林筱琪,學生,09 5964 8496
318, 陳國發,學生,09 9689 2422
319, 李佳輝,學生,09 4018 4712
320, 陳聖財,學生,09 5829 1128
321, 林柏瑄,學生,09 9619 2170
322, 郭婉婷,學生,09 5334 1807
323, 陳彥儒,學生,09 9883 4092
324, 陳信玉,學生,09 1176 4217
325, 黃俊毅,學生,09 5904 4246
326, 潘旺欣,學生,09 7142 7965
327, 陳奕翔,學生,09 8532 6987
328, 黃宛君,學生,09 3343 9115
329, 童佩如,學生,09 1732 5866
330, 楊群容,學生,09 1396 5207
331, 林仰君,學生,09 2648 4102
332, 楊婉宏,學生,09 8124 3577
333, 林育宇,學生,09 2964 2368
334, 高雅琪,學生,09 3537 2192
335, 楊雅琦,學生,09 9860 5832
336, 馬鎮宇,學生,09 6302 4193
337, 黃耀康,學生,09 2622 7074
338, 盧怡君,學生,09 1820 9999
339, 呂韋竹,學生,09 5771 7774
340, 吳雅揚,學生,09 5716 9521
341, 彭惠雯,學生,09 0196 5020
342, 薛思政,學生,09 7211 1580
343, 淩家瑜,學生,09 5675 5117
344, 林孟春,學生,09 6056 6709
345, 黎財鑫,學生,09 2967 6238
346, 徐弘法,學生,09 2035 7015
347, 李佳瑩,學生,09 0354 7265
348, 陳紀丹,學生,09 3190 5580
349, 吳子芸,學生,09 7900 6680
350, 管士瑩,學生,09 4766 5779
351, 蔡承翰,學生,09 0664 0950
352, 賴雅萍,學生,09 8232 5525
353, 吳雯婷,學生,09 8753 6244
354, 賴雅芬,學生,09 3224 1587
355, 林彥芝,學生,09 0584 5198
356, 黃德音,學生,09 2981 2921
357, 錢弘音,學生,09 6121 7260
358, 張添松,學生,09 7234 3694
359, 李宗昆,學生,09 3605 2298
360, 林立劭,學生,09 9030 1780
361, 廖偉梅,學生,09 7703 1309
362, 王家良,學生,09 2269 3163
363, 張萱佐,學生,09 6465 1372
364, 黃予行,學生,09 3168 4368
365, 張淑云,學生,09 2787 8471
366, 陳大鈞,學生,09 2825 5013
367, 林姿易,學生,09 8615 8161
368, 蔡志瑞,學生,09 1144 3136
369, 周建霖,學生,09 0886 6070
370, 劉怡娥,學生,09 2328 1485
371, 吳鎮宇,學生,09 5400 8440
372, 賴愛善,學生,09 3518 5115
373, 張瑞雪,學生,09 9292 9574
374, 郭淑惠,學生,09 2708 3374
375, 郭淑惠,學生,09 9361 7888
376, 郭柏豪,學生,09 6453 6873
377, 陳正雪,學生,09 4636 8863
378, 李艾意,學生,09 2436 7578
379, 張惠茂,學生,09 9862 8694
380, 李嘉慧,學生,09 9143 9772
381, 蔡明平,學生,09 8642 3837
382, 周建豪,學生,09 4891 5866
383, 陳美苓,學生,09 4895 9076
384, 王建智,學生,09 7282 0171
385, 張舒樂,學生,09 4420 7050
386, 林士玉,學生,09 7467 6827
387, 林佩利,學生,09 5080 3157
388, 柳林仲,學生,09 5000 2779
389, 藍靜怡,學生,09 2542 0653
390, 陳百映,學生,09 8878 5979
391, 張凱鈞,學生,09 3438 8204
392, 孫麗芬,學生,09 3032 4167
393, 王書瑋,學生,09 0653 6282
394, 宓莉宣,學生,09 7677 4369
395, 林孟屏,學生,09 3746 6543
396, 鄧吟瑤,學生,09 8143 5254
397, 許智隆,學生,09 8772 0631
398, 隆佳蓉,學生,09 0931 5107
399, 鄭凱靖,學生,09 0132 9935
400, 羅清緯,學生,09 3850 0591
401, 陳美昇,學生,09 7234 4809
402, 路寧麟,學生,09 4926 8471
403, 黃慧仲,學生,09 3339 8365
404, 李揚慈,學生,09 2558 6162
405, 李怡如,學生,09 7087 9439
406, 謝國辰,學生,09 7398 5905
407, 韓靜宜,學生,09 8846 3826
408, 趙珍佳,學生,09 0309 0942
409, 張健虹,學生,09 6396 2658
410, 羅承翰,學生,09 5489 3151
411, 王婉婷,學生,09 6578 8404
412, 唐玉義,學生,09 1372 8484
413, 傅俊宇,學生,09 6607 0146
414, 張韻如,學生,09 5875 7316
415, 鄧琳真,學生,09 0426 7634
416, 林昱明,學生,09 3185 3917
417, 邱淑敏,學生,09 2672 2005
418, 吳辰和,學生,09 0168 8549
419, 謝盈甄,學生,09 1879 7664
420, 簡玉婷,學生,09 0796 9222
421, 吳美惠,學生,09 1057 1907
422, 林雅芳,學生,09 6860 6623
423, 張維江,學生,09 1629 7936
424, 王憶韻,學生,09 2188 6188
425, 趙月哲,學生,09 3878 7940
426, 柳振昇,學生,09 6490 1063
427, 李美慧,學生,09 3721 6908
428, 林淑梅,學生,09 4486 7963
429, 王惠白,學生,09 5233 9211
430, 吳夢意,學生,09 8422 7357
431, 梁冠志,學生,09 5317 8043
432, 蔡俊憲,學生,09 2440 9415
433, 黃允俊,學生,09 3395 8534
434, 樊美惠,學生,09 1226 5160
435, 郭盈瑩,學生,09 4753 2835
436, 吳淑惠,學生,09 4086 7160
437, 謝雅雯,學生,09 4771 2868
438, 劉佳蓉,學生,09 3227 8492
439, 李俊謙,學生,09 3253 6834
440, 楊佩怡,學生,09 5772 0032
441, 錢如英,學生,09 1310 3721
442, 陳惠合,學生,09 2912 1945
443, 張任舜,學生,09 3629 0132
444, 阮正偉,學生,09 5163 5584
445, 李韻隆,學生,09 3565 2001
446, 林惠萍,學生,09 9696 6973
447, 林俊廷,學生,09 8745 0739
448, 郭冠宇,學生,09 0953 7285
449, 張景吟,學生,09 9622 7370
450, 王宜芳,學生,09 1033 6890
451, 阮立維,學生,09 2589 9634
452, 劉于珊,學生,09 5803 3843
453, 羅晉松,學生,09 1714 3014
454, 黃志文,學生,09 9417 9660
455, 盧俊凱,學生,09 6156 2561
456, 林建萱,學生,09 2564 9954
457, 黃曉雯,學生,09 6853 0916
458, 溥怡伶,學生,09 8143 8302
459, 陳美劭,學生,09 0911 4324
460, 戴建安,學生,09 7569 9385
461, 王宏儒,學生,09 4711 8973
462, 湛茹羽,學生,09 5940 9961
463, 陳宜宣,學生,09 2651 0020
464, 黃昶玉,學生,09 2034 3719
465, 黃郁恬,學生,09 0617 9162
466, 陳淑雄,學生,09 0697 3973
467, 張峻屏,學生,09 0129 4528
468, 陳奎郁,學生,09 4579 8664
469, 翁白鈺,學生,09 7385 7898
470, 羅家慧,學生,09 2149 3964
471, 莫嘉美,學生,09 3729 5310
472, 賴俊廷,學生,09 5332 7789
473, 黃艾雯,學生,09 3498 5929
474, 蒙恩薇,學生,09 7168 5525
475, 何政廷,學生,09 7322 7390
476, 吳弘全,學生,09 1484 3659
477, 鐘茜原,學生,09 8440 6219
478, 謝國辰,學生,09 2357 3681
479, 賴協宏,學生,09 9465 4459
480, 蔡孟修,學生,09 8254 2109
481, 鄭于珠,學生,09 5191 5208
482, 林盈蓮,學生,09 9649 1260
483, 王鈞毓,學生,09 9775 7064
484, 張書友,學生,09 4032 6582
485, 楊美彥,學生,09 5317 9022
486, 鄧先和,學生,09 6037 6154
487, 隆怡君,學生,09 1578 0327
488, 顏與南,學生,09 8988 4071
489, 謝淑芬,學生,09 5534 6583
490, 賴樂卿,學生,09 2457 6356
491, 林佩君,學生,09 3955 6361
492, 張凱聖,學生,09 9662 6829
493, 姜淑憲,學生,09 9071 9862
494, 林靜怡,學生,09 2576 4599
495, 葉淑慧,學生,09 2108 9598
496, 林佳生,學生,09 6948 9030
497, 李堯元,學生,09 0037 7941
498, 蘇星漢,學生,09 8010 4074
499, 賴治琇,學生,09 3418 5826
500, 吳芳勇,學生,09 7370 1729
501, 李思賢,學生,09 6510 5468
502, 陳婉婷,學生,09 3955 4461
503, 田瑞馨,學生,09 1423 6506
504, 唐康姍,學生,09 1402 5700
505, 盧建廷,學生,09 9857 7163
506, 方蕙成,學生,09 1953 5475
507, 葉雅琪,學生,09 3763 5943
508, 蔡雅亞,學生,09 5682 3025
509, 許有惠,學生,09 8115 8633
510, 簡子綺,學生,09 7089 7702
511, 盧綠旭,學生,09 8094 5149
512, 張美君,學生,09 0027 7816
513, 黃偉香,學生,09 9926 5749
514, 黃彥城,學生,09 9269 7000
515, 劉家一,學生,09 5533 0352
516, 張鈞音,學生,09 7397 7505
517, 許慧娟,學生,09 0657 1271
518, 林宗誠,學生,09 8174 8129
519, 林政屏,學生,09 5008 7150
520, 黃潔卉,學生,09 8489 7024
521, 賴家育,學生,09 6795 5431
522, 黃嘉玟,學生,09 3542 8697
523, 張淑芳,學生,09 2803 8136
524, 李佳穎,學生,09 6335 3758
525, 顏炳松,學生,09 0158 7966
526, 盧雅晴,學生,09 1789 1108
527, 李信豪,學生,09 8106 4629
528, 王子季,學生,09 8798 9226
529, 周郁姍,學生,09 5008 7844
530, 林正恭,學生,09 2582 3848
531, 鄧淑娟,學生,09 9144 2061
532, 毛慧玲,學生,09 3943 2471
533, 黃玉玲,學生,09 5320 3924
534, 黃淑惠,學生,09 9805 8787
535, 陳雅婷,學生,09 8560 8491
536, 張雅婷,學生,09 5005 7583
537, 林盈杰,學生,09 0315 6549
538, 酆致雯,學生,09 0345 3243
539, 魏偉婷,學生,09 5546 9852
540, 黃耀書,學生,09 1706 9075
541, 陳凱翔,學生,09 7042 7706
542, 林淑萍,學生,09 9500 7850
543, 陳柏鈞,學生,09 4802 2084
544, 賴雅茹,學生,09 4399 4125
545, 王宏偉,學生,09 4828 9027
546, 潘承穎,學生,09 8303 8059
547, 余富禾,學生,09 5365 4413
548, 賴剛福,學生,09 2252 5826
549, 黃郁芳,學生,09 9448 9441
550, 許哲維,學生,09 7488 5481
551, 林凡維,學生,09 4244 5304
552, 劉秀玲,學生,09 7349 3957
553, 許文美,學生,09 9622 4230
554, 游筠綠,學生,09 2078 6364
555, 黃俊毅,學生,09 5867 2837
556, 支靖盈,學生,09 5523 4906
557, 李傑秋,學生,09 0077 8951
558, 林雅芬,學生,09 0012 7881
559, 黃鈺雯,學生,09 0625 5839
560, 鄭于庭,學生,09 8885 5073
561, 夏美玉,學生,09 9728 0675
562, 林曉慈,學生,09 9892 5942
563, 吳志傑,學生,09 0214 4645
564, 張語瑞,學生,09 6537 4043
565, 白虹沛,學生,09 0903 6519
566, 王雅芸,學生,09 3246 1879
567, 白法萱,學生,09 0169 2180
568, 林仁帆,學生,09 3113 5762
569, 洪佩如,學生,09 4175 7244
570, 陳宗芳,學生,09 0982 5218
571, 徐瑤欣,學生,09 7092 1794
572, 孫盈諭,學生,09 7579 8870
573, 李京良,學生,09 8471 3689
574, 黃元一,學生,09 2779 3163
575, 李合珊,學生,09 8116 3451
576, 蔡盈君,學生,09 7782 6713
577, 柯玉梅,學生,09 9438 0628
578, 簡寧佐,學生,09 3362 4962
579, 黃靖修,學生,09 5605 7631
580, 潘兆貞,學生,09 1767 7792
581, 陳庭瑋,學生,09 4033 6269
582, 王英傑,學生,09 8156 4391
583, 林建德,學生,09 6311 7361
584, 吳思紹,學生,09 6143 2563
585, 蘇婉婷,學生,09 9468 1217
586, 陳彥皓,學生,09 4739 8049
587, 林明翰,學生,09 1060 0896
588, 劉廷姍,學生,09 3564 5414
589, 楊家宏,學生,09 6419 5367
590, 吳淑帆,學生,09 8596 5727
591, 李家銘,學生,09 0622 1869
592, 周竣凱,學生,09 6585 3750
593, 李重亮,學生,09 1785 6791
594, 陳冠宇,學生,09 0021 9782
595, 張宗翰,學生,09 0271 0417
596, 張柏翔,學生,09 4966 4094
597, 賈怡秀,學生,09 9779 5303
598, 蕭志成,學生,09 2321 1155
599, 吳佳一,學生,09 7494 7563
600, 謝建豪,學生,09 1187 4626
601, 陳怡珠,學生,09 7643 5502
602, 林芃榮,學生,09 3857 1337
603, 王振瑋,學生,09 8996 2842
604, 曹宏勳,學生,09 9567 2027
605, 葉裕紋,學生,09 4975 5230
606, 王慧婷,學生,09 0867 2273
607, 林雅琪,學生,09 2504 0725
608, 蔡宜富,學生,09 5707 6548
609, 溫雅芬,學生,09 1364 7675
610, 林智平,學生,09 1963 5907
611, 李雅馨,學生,09 5840 0432
612, 李美泰,學生,09 4777 6056
613, 白岳富,學生,09 2366 7399
614, 黃鈺亞,學生,09 9722 1534
615, 張炳欣,學生,09 5800 8196
616, 黃佳慧,學生,09 3852 5940
617, 李欣純,學生,09 8007 2998
618, 陳樂佩,學生,09 6848 8170
619, 彭志明,學生,09 5234 5589
620, 林鎮豐,學生,09 0302 2456
621, 吳苑喜,學生,09 6898 6255
622, 王彥廷,學生,09 2935 7947
623, 黃美宏,學生,09 1615 9110
624, 吳依玲,學生,09 6660 6274
625, 林偉倫,學生,09 2049 9970
626, 張穎燦,學生,09 6200 0912
627, 袁博夫,學生,09 9717 5602
628, 林聖淳,學生,09 7874 9197
629, 林英邦,學生,09 8501 2684
630, 沈政峰,學生,09 0071 4601
631, 劉彥君,學生,09 0008 7592
632, 錢宏儒,學生,09 7746 1944
633, 黃文洋,學生,09 8910 1838
634, 阮巧瑄,學生,09 6801 6880
635, 林子茵,學生,09 4162 6794
636, 朱昀璇,學生,09 1399 4419
637, 李俊堯,學生,09 3561 1398
638, 林怡偉,學生,09 2155 6571
639, 陳青方,學生,09 5202 7302
640, 陳惠婷,學生,09 5030 3914
641, 陳宗翰,學生,09 8266 0147
642, 吳政翰,學生,09 4422 4626
643, 簡志白,學生,09 3588 1250
644, 張政儒,學生,09 0095 0464
645, 林家全,學生,09 6147 3008
646, 林家財,學生,09 6593 8749
647, 楊宗雲,學生,09 1417 6517
648, 柳嘉男,學生,09 7267 6432
649, 林馨文,學生,09 3680 3437
650, 楊愛信,學生,09 6221 7730
651, 林奕傑,學生,09 2403 2212
652, 王志竹,學生,09 1649 8180
653, 孫茜中,學生,09 7839 9515
654, 李君成,學生,09 5541 6076
655, 鄭雅偉,學生,09 6522 4569
656, 鐘彥璋,學生,09 4264 3123
657, 陳瑩育,學生,09 4065 7399
658, 許于婷,學生,09 2911 0126
659, 周偉智,學生,09 1715 6342
660, 蘇羽珮,學生,09 8775 5575
661, 李美珮,學生,09 0817 6797
662, 姜萱潔,學生,09 7065 2093
663, 曾懿孜,學生,09 0312 4070
664, 高依婷,學生,09 6309 3509
665, 蔡玟君,學生,09 5281 4077
666, 黃先男,學生,09 2071 7719
667, 李淑強,學生,09 6170 3118
668, 劉曉玲,學生,09 6917 6106
669, 趙亮婷,學生,09 8034 5803
670, 皇甫筱涵,學生,09 0610 7099
671, 蔣雅君,學生,09 6092 0502
672, 黃惠敏,學生,09 3303 2301
673, 蔡彥均,學生,09 4603 3707
674, 杜海群,學生,09 5983 0083
675, 林曉萍,學生,09 9717 1987
676, 郭心恒,學生,09 5631 3365
677, 侯秉俐,學生,09 6396 9789
678, 劉湘玉,學生,09 9897 6848
679, 劉若玉,學生,09 5246 1090
680, 駱惠美,學生,09 6027 2972
681, 梁素貞,學生,09 8620 4409
682, 朱淑倩,學生,09 6724 3769
683, 張雅慈,學生,09 6188 6125
684, 陳明輝,學生,09 2086 9178
685, 李秀純,學生,09 7550 4801
686, 韓定喬,學生,09 4067 2347
687, 楊薇旭,學生,09 8896 1888
688, 吳志宇,學生,09 1882 7870
689, 林佳云,學生,09 5001 8280
690, 林彥啟,學生,09 3324 5321
691, 溫惠文,學生,09 0304 4757
692, 繆恒倫,學生,09 0333 1144
